Age	Temperature	K_Pg
27.554	-1.32812	0
27.672	-1.32701	0
27.778	-1.32533	0
27.879	-1.32308	0
27.99	-1.31982	0
28.091	-1.3161	0
28.197	-1.31156	0
28.3	-1.30667	0
28.404	-1.30142	0
28.511	-1.29583	0
28.644	-1.28891	0
28.7452	-1.28385	0
28.871	-1.27804	0
28.981	-1.2736	0
29.0998	-1.26967	0
29.2	-1.26721	0
29.313	-1.26555	0
29.4164	-1.26521	0
29.535	-1.2664	0
29.69	-1.27085	0
29.792	-1.27577	0
29.901	-1.28295	0
30.018	-1.29289	0
30.1192	-1.30234	0
30.23	-1.31198	0
30.359	-1.32008	0
30.4704	-1.32242	0
30.5759	-1.3191	0
30.6788	-1.31159	0
30.7802	-1.30337	0
30.8804	-1.29658	0
30.983	-1.29167	0
31.0886	-1.28931	0
31.1898	-1.28959	0
31.3	-1.29172	0
31.4012	-1.2944	0
31.5046	-1.29718	0
31.608	-1.29948	0
31.7099	-1.30092	0
31.8118	-1.30204	0
31.913	-1.30365	0
32.016	-1.30628	0
32.1161	-1.30939	0
32.2224	-1.31275	0
32.3233	-1.31599	0
32.4317	-1.32048	0
32.532	-1.32638	0
32.6332	-1.33402	0
32.745	-1.34401	0
32.8463	-1.35395	0
32.9504	-1.36314	0
33.052	-1.36854	0
33.1567	-1.36775	0
33.2581	-1.3584	0
33.3595	-1.33885	0
33.4656	-1.30858	0
33.5667	-1.27277	0
33.6692	-1.23436	0
33.772	-1.19863	0
33.8742	-1.16856	0
33.9754	-1.14572	0
34.0854	-1.1275	0
34.1854	-1.11451	0
34.288	-1.10289	0
34.3891	-1.09309	0
34.499	-1.08463	0
34.6	-1.07884	0
34.7	-1.07467	0
34.803	-1.07161	0
34.908	-1.06942	0
35.026	-1.06769	0
35.145	-1.06637	0
35.263	-1.06507	0
35.386	-1.06329	0
35.491	-1.06111	0
35.597	-1.058	0
35.7512	-1.05124	0
35.882	-1.04287	0
35.996	-1.03352	0
36.115	-1.02208	0
36.218	-1.01106	0
36.333	-0.99786	0
36.45	-0.98379	0
36.6067	-0.96452	0
36.715	-0.95134	0
36.8312	-0.93768	0
36.966	-0.9229	0
37.075	-0.91216	0
37.1961	-0.90185	0
37.4	-0.88895	0
37.5	-0.88449	0
37.6571	-0.87964	0
37.771	-0.87752	0
37.9254	-0.87624	0
38.031	-0.87619	0
38.145	-0.87672	0
38.2534	-0.87765	0
38.424	-0.87957	0
38.549	-0.88105	0
38.6733	-0.88233	0
38.784	-0.88313	0
38.9	-0.88346	0
