species,age_min,age_max,Rotated latitude
Carphophis amoenus,0.0117,0.129,34.20
Crotalus horridus,0.0117,0.129,34.20
Diadophis punctatus,0.0117,0.129,34.20
Heterodon platyrhinos,0.0117,0.129,34.20
Lampropeltis getula,0.0117,0.129,34.20
Lampropeltis triangulum,0.0117,0.129,34.20
Nerodia sipedon,0.0117,0.129,34.20
Thamnophis sirtalis,0.0117,0.129,34.20
Coluber constrictor,0.0117,0.129,34.40
Palaeophis littoralis,47.8,56,34.48
Palaeophis virginianus,47.8,56,34.48
Boavus occidentalis,39.7,46.2,34.58
Boavus occidentalis,39.7,46.2,34.58
Palaeophis casei,50.5,54.9,34.71
Palaeophis littoralis,50.5,54.9,34.71
Palaeophis virginianus,50.5,54.9,34.71
Coluber constrictor,0.0117,0.129,34.72
Crotalus horridus,0.0117,0.129,34.72
Diadophis punctatus,0.0117,0.129,34.72
Lampropeltis getula,0.0117,0.129,34.72
Lampropeltis triangulum,0.0117,0.129,34.72
Pantherophis guttatus,0.0117,0.129,34.72
Pantherophis vulpinus,0.0117,0.129,34.72
Thamnophis sirtalis,0.0117,0.129,34.72
Simoliophis rochebrunei,93.9,100.5,34.75
Simoliophis rochebrunei,93.9,100.5,34.80
Simoliophis rochebrunei,93.9,100.5,34.81
Palaeophis casei,47.8,59.2,34.84
Palaeophis littoralis,47.8,59.2,34.84
Palaeophis virginianus,47.8,59.2,34.84
Simoliophis rochebrunei,93.9,100.5,34.84
Simoliophis rochebrunei,93.9,100.5,34.85
Lampropeltis getula,0.0117,0.129,34.88
Salvadora grahamiae,0.0117,0.129,34.88
Simoliophis rochebrunei,93.9,100.5,35.02
Simoliophis rochebrunei,93.9,100.5,35.06
Simoliophis rochebrunei,93.9,100.5,35.07
Simoliophis rochebrunei,93.9,100.5,35.08
Simoliophis rochebrunei,93.9,100.5,35.09
Simoliophis rochebrunei,93.9,100.5,35.10
Eryx linxiaensis,4.9,7.75,35.32
Hierophis viridiflavus,0.129,0.774,35.36
Pterosphenus schucherti,33.9,37.71,35.63
Dunnophis matronensis,47.8,56,35.64
Crotalus viridis,0.000,0.21,35.75
Natrix maura,0.129,0.774,35.80
Pterosphenus schucherti,33.9,37.71,35.85
Diablophis gilmorei,145,149.2,35.91
Diablophis gilmorei,146.3,149.2,36.01
Coluber constrictor,0.21,1.4,36.03
Coluber constrictor,0.21,1.4,36.03
Lampropeltis calligaster,0.21,1.4,36.03
Lampropeltis getula,0.21,1.4,36.03
Pantherophis guttatus,0.21,1.4,36.03
Pantherophis vulpinus,0.21,1.4,36.03
Pituophis melanoleucus,0.21,1.4,36.03
Thamnophis sirtalis,0.21,1.4,36.03
Archaeophis turkmenicus,47.8,56,36.15
Heterodon nasicus,4.7,9.4,36.17
Lampropeltis getula,4.7,9.4,36.17
Pituophis melanoleucus,4.7,9.4,36.17
Thamnophis sirtalis,0.000,0.129,36.18
Crotalus atrox,0.0117,0.129,36.21
Crotalus viridis,0.0117,0.129,36.21
Lampropeltis getula,0.0117,0.129,36.21
Charina prebottae,4.7,9.4,36.41
Miocoluber dalquesti,4.7,9.4,36.41
Paleoheterodon tiheni,4.7,9.4,36.41
Zilantophis schuberti,1.4,9.4,36.56
Crotalus horridus,0.0117,0.129,36.66
Nerodia sipedon,0.0117,0.129,36.66
Pantherophis vulpinus,0.0117,0.129,36.66
Malpolon monspessulanus,0.0117,0.129,36.67
Natrix natrix,0.0117,0.129,36.67
Coluber constrictor,0.21,1.4,36.74
Heterodon nasicus,0.21,1.4,36.84
Heterodon platyrhinos,0.21,1.4,36.84
Lampropeltis getula,0.21,1.4,36.84
Lampropeltis triangulum,0.21,1.4,36.84
Pantherophis vulpinus,0.21,1.4,36.84
Pituophis melanoleucus,0.21,1.4,36.84
Nerodia sipedon,0.0117,0.129,36.95
Pantherophis obsoletus,0.0117,0.129,36.95
Heterodon nasicus,0.21,1.4,37.08
Heterodon platyrhinos,0.21,1.4,37.08
Lampropeltis calligaster,0.21,1.4,37.08
Pantherophis obsoletus,0.21,1.4,37.08
Malpolon monspessulanus,0.129,0.774,37.10
Pantherophis obsoletus,0.0117,0.129,37.18
Coluber constrictor,0.0117,0.129,37.20
Heterodon nasicus,0.0117,0.129,37.20
Heterodon platyrhinos,0.0117,0.129,37.20
Lampropeltis calligaster,0.0117,0.129,37.20
Lampropeltis getula,0.0117,0.129,37.20
Pantherophis obsoletus,0.0117,0.129,37.20
Coluber constrictor,1.4,4.7,37.22
Pantherophis obsoletus,1.4,4.7,37.22
Coluber constrictor,4.7,9.4,37.24
Coluber constrictor,0.21,1.4,37.24
Coluber constrictor,0.21,1.4,37.24
Coluber constrictor,0.21,1.4,37.24
Crotalus viridis,4.7,9.4,37.24
Crotalus viridis,0.21,1.4,37.24
Diadophis punctatus,0.21,1.4,37.24
Heterodon platyrhinos,0.21,1.4,37.24
Heterodon plionasicus,4.7,9.4,37.24
Lampropeltis calligaster,0.21,1.4,37.24
Lampropeltis getula,0.21,1.4,37.24
Lampropeltis getula,0.21,1.4,37.24
Nerodia sipedon,0.21,1.4,37.24
Nerodia sipedon,0.21,1.4,37.24
Pantherophis buisi,4.7,9.4,37.24
Pantherophis obsoletus,4.7,9.4,37.24
Pantherophis vulpinus,0.21,1.4,37.24
Pituophis melanoleucus,0.21,1.4,37.24
Pituophis melanoleucus,0.21,1.4,37.24
Coluber constrictor,1.4,4.7,37.25
Crotalus viridis,1.4,4.7,37.25
Heterodon plionasicus,1.4,4.7,37.25
Lampropeltis getula,1.4,4.7,37.25
Pantherophis obsoletus,1.4,4.7,37.25
Anomalophis bolcensis,47.8,56,37.29
Archaeophis proavus,47.8,56,37.29
Coluber constrictor,1.8,2.58,37.32
Coluber constrictor,1.4,4.7,37.32
Coluber constrictor,1.4,4.7,37.32
Coluber constrictor,1.4,4.7,37.32
Crotalus viridis,1.8,2.58,37.32
Crotalus viridis,1.4,4.7,37.32
Crotalus viridis,1.4,4.7,37.32
Heterodon nasicus,1.8,2.58,37.32
Heterodon platyrhinos,1.4,4.7,37.32
Heterodon platyrhinos,1.4,4.7,37.32
Heterodon plionasicus,1.4,4.7,37.32
Heterodon plionasicus,1.4,4.7,37.32
Lampropeltis getula,1.8,2.58,37.32
Lampropeltis getula,1.4,4.7,37.32
Lampropeltis getula,1.4,4.7,37.32
Sistrurus catenatus,1.8,2.58,37.32
Sistrurus catenatus,1.4,4.7,37.32
Sistrurus catenatus,1.4,4.7,37.32
Pantherophis obsoletus,1.8,2.58,37.32
Pantherophis obsoletus,1.4,4.7,37.32
Pantherophis obsoletus,1.4,4.7,37.32
Pantherophis obsoletus,1.4,4.7,37.32
Crotalus horridus,0.000,0.129,37.33
Crotalus viridis,0.129,0.774,37.36
Heterodon nasicus,0.129,0.774,37.36
Heterodon nasicus,0.129,0.774,37.36
Heterodon nasicus,0.129,0.774,37.36
Heterodon nasicus,0.129,0.774,37.36
Pituophis melanoleucus,0.129,0.774,37.36
Pituophis melanoleucus,0.129,0.774,37.36
Thamnophis sirtalis,0.129,0.774,37.36
Thamnophis sirtalis,0.129,0.774,37.36
Thamnophis sirtalis,0.129,0.774,37.36
Thamnophis sirtalis,0.129,0.774,37.36
Coronella austriaca,0.129,0.774,37.38
Natrix natrix,0.129,0.774,37.38
Vipera berus,0.129,0.774,37.38
Zamenis longissimus,0.129,0.774,37.38
Zamenis scalaris,1.8,2.58,37.46
Python euboicus,15.98,23.03,37.52
Natrix maura,0.774,2.58,37.76
Elaphe quatuorlineata,2.58,3.1,37.86
Zamenis longissimus,2.58,3.1,37.86
Vipera ammodytes,0.774,2.58,37.90
Zamenis longissimus,0.774,2.58,37.90
Zamenis scalaris,0.774,1.8,38.22
Crotalus viridis,0.21,1.4,38.34
Heterodon platyrhinos,0.21,1.4,38.34
Heterodon platyrhinos,0.21,1.4,38.34
Heterodon platyrhinos,0.21,1.4,38.34
Nerodia sipedon,0.21,1.4,38.34
Nerodia sipedon,0.21,1.4,38.34
Pantherophis obsoletus,0.21,1.4,38.34
Carphophis amoenus,0.0117,0.129,38.35
Coluber constrictor,0.0117,0.129,38.35
Crotalus adamanteus,0.0117,0.129,38.35
Crotalus horridus,0.0117,0.129,38.35
Pantherophis guttatus,0.0117,0.129,38.35
Thamnophis sirtalis,0.0117,0.129,38.35
Coluber cadurci,15.98,20,38.45
Palaeophis ferganicus,47.8,56,38.58
Carphophis amoenus,0.000,2.58,38.59
Lampropeltis triangulum,0.000,2.58,38.59
Nerodia sipedon,0.000,2.58,38.59
Carphophis amoenus,0.000,2.58,38.63
Coluber constrictor,0.000,2.58,38.63
Crotalus horridus,0.000,2.58,38.63
Lampropeltis triangulum,0.000,2.58,38.63
Nerodia sipedon,0.000,2.58,38.63
Natrix natrix,0.129,0.774,38.68
Vipera latastei,0.0117,0.129,38.70
Coluber constrictor,0.000,2.58,38.72
